event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,notes,fatalities,timestamp
SOM280,2023-01-01,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,ATMIS Forces,,1,21,Somalia,Lower Juba,,,Kismayo,0.1636,42.2106,1,AFP,"Battles between Al-Shabaab and ATMIS Forces in Kismayo, Somalia.",3,20230101
SUD497,2023-01-01,2023,Battles,Non-state actor overtakes territory,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,South Darfur,,,Nyala,12.072,24.9366,1,AFP,"Battles between Sudan Armed Forces and Rapid Support Forces in Nyala, Sudan.",12,20230101
ETH800,2023-01-02,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Tigray,,,Mekelle,13.3928,39.3264,1,Reuters,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Mekelle, Ethiopia.",8,20230102
SOM985,2023-01-03,2023,Violence against civilians,Attack,Fano (Amhara Militia),,3,Civilians (Somalia),,7,37,Somalia,Hiraan,,,Beledweyne,4.7653,45.0377,1,BBC,"Violence against civilians between Fano (Amhara Militia) and Civilians (Somalia) in Beledweyne, Somalia.",15,20230103
SOM1198,2023-01-03,2023,Violence against civilians,Attack,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Somalia,Middle Juba,,,Bu'aale,1.5344,42.8737,1,BBC,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Bu'aale, Somalia.",3,20230103
ETH611,2023-01-04,2023,Explosions/Remote violence,IED/landmine/UVIED,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Amhara,,,Bahir Dar,11.8618,37.6443,1,AFP,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Bahir Dar, Ethiopia.",6,20230104
DEM1022,2023-01-04,2023,Battles,Armed clash,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,Maniema,,,Kindu,-3.2306,25.6021,1,UN OCHA,"Battles between Armed Forces of the DRC (FARDC) and M23 in Kindu, Democratic Republic of Congo.",15,20230104
SUD1073,2023-01-04,2023,Battles,Non-state actor overtakes territory,Sudan Armed Forces,,1,Sudan People's Liberation Movement-North,,2,12,Sudan,Gedaref,,,Gedaref,13.681,35.0406,1,Radio Ergo,"Battles between Sudan Armed Forces and Sudan People's Liberation Movement-North in Gedaref, Sudan.",0,20230104
SOM393,2023-01-05,2023,Violence against civilians,Looting/property destruction,M23,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,0.1675,42.3184,1,Local sources,"Violence against civilians between M23 and Civilians (Somalia) in Kismayo, Somalia.",7,20230105
SUD455,2023-01-05,2023,Riots,Violent demonstration,Rioters (Sudan),,5,Rapid Support Forces,,3,53,Sudan,Blue Nile,,,Ed Damazin,11.6682,34.4314,1,Reuters,"Riots between Rioters (Sudan) and Rapid Support Forces in Ed Damazin, Sudan.",4,20230105
